ThreadName,Message,ServerThreadName,UserName,AuditTime,PduType,LogTime
Client-bastiudp,,,bastiudp,2019-12-03 10:48:58:978,"Login ",2019-12-03 10:48:59:032
Client-bastiudp,halllo,,bastiudp,2019-12-03 10:49:04:135,"Chat  ",2019-12-03 10:49:04:137
Client-bastiudp,vielleicht ist ja udp schneller oder so,,bastiudp,2019-12-03 10:49:09:841,"Chat  ",2019-12-03 10:49:09:843
Client-bastiudp,mehr messages,,bastiudp,2019-12-03 10:49:13:196,"Chat  ",2019-12-03 10:49:13:197
Client-bastiudp,blabla,,bastiudp,2019-12-03 10:49:14:781,"Chat  ",2019-12-03 10:49:14:784
Client-bastiudp,,,bastiudp,2019-12-03 10:49:17:996,Logout,2019-12-03 10:49:17:997
Client-Client-Thread-1,,,Client-Thread-1,2019-12-04 11:45:47:874,"Login ",2019-12-04 11:45:47:925
Client-Client-Thread-2,,,Client-Thread-2,2019-12-04 11:45:47:948,"Login ",2019-12-04 11:45:47:952
Client-Client-Thread-3,,,Client-Thread-3,2019-12-04 11:45:47:971,"Login ",2019-12-04 11:45:47:973
Client-Client-Thread-4,,,Client-Thread-4,2019-12-04 11:45:48:026,"Login ",2019-12-04 11:45:48:028
Client-Client-Thread-5,,,Client-Thread-5,2019-12-04 11:45:48:076,"Login ",2019-12-04 11:45:48:077
Client-Client-Thread-6,,,Client-Thread-6,2019-12-04 11:45:48:125,"Login ",2019-12-04 11:45:48:129
Client-Client-Thread-7,,,Client-Thread-7,2019-12-04 11:45:48:163,"Login ",2019-12-04 11:45:48:164
Client-Client-Thread-8,,,Client-Thread-8,2019-12-04 11:45:48:220,"Login ",2019-12-04 11:45:48:221
Client-Client-Thread-9,,,Client-Thread-9,2019-12-04 11:45:48:256,"Login ",2019-12-04 11:45:48:260
Client-Client-Thread-10,,,Client-Thread-10,2019-12-04 11:45:48:295,"Login ",2019-12-04 11:45:48:297
Client-Client-Thread-3,++++++++++,,Client-Thread-3,2019-12-04 11:45:48:308,"Chat  ",2019-12-04 11:45:48:314
Client-Client-Thread-8,++++++++++,,Client-Thread-8,2019-12-04 11:45:48:309,"Chat  ",2019-12-04 11:45:48:315
Client-Client-Thread-1,++++++++++,,Client-Thread-1,2019-12-04 11:45:48:312,"Chat  ",2019-12-04 11:45:48:319
Client-Client-Thread-5,++++++++++,,Client-Thread-5,2019-12-04 11:45:48:312,"Chat  ",2019-12-04 11:45:48:320
Client-Client-Thread-7,++++++++++,,Client-Thread-7,2019-12-04 11:45:48:313,"Chat  ",2019-12-04 11:45:48:321
Client-Client-Thread-6,++++++++++,,Client-Thread-6,2019-12-04 11:45:48:313,"Chat  ",2019-12-04 11:45:48:322
Client-Client-Thread-2,++++++++++,,Client-Thread-2,2019-12-04 11:45:48:313,"Chat  ",2019-12-04 11:45:48:329
Client-Client-Thread-4,++++++++++,,Client-Thread-4,2019-12-04 11:45:48:313,"Chat  ",2019-12-04 11:45:48:339
Client-Client-Thread-10,++++++++++,,Client-Thread-10,2019-12-04 11:45:48:316,"Chat  ",2019-12-04 11:45:48:343
Client-Client-Thread-9,++++++++++,,Client-Thread-9,2019-12-04 11:45:48:326,"Chat  ",2019-12-04 11:45:48:353
Client-Client-Thread-4,++++++++++,,Client-Thread-4,2019-12-04 11:45:48:367,"Chat  ",2019-12-04 11:45:48:379
Client-Client-Thread-10,++++++++++,,Client-Thread-10,2019-12-04 11:45:48:377,"Chat  ",2019-12-04 11:45:48:380
